SORT,LITHSTRTNO,CODE,JNCODE,NUMBER_,UNITNAME,GSWASTATUS,RANK,DESCRIPTN,PARENTCODE,PARENTNAME,ROCKTYPE1,LITHNAME1,QUALIFIER1,QUALIFIER2,MIXEDROCK,ROCKTYPE2,LITHNAME2,MIXEDQUAL1,MIXEDQUAL2,REGOLITH,WASTRAUNIT,SUPERSUITE,SUITE,SUPERGROUP,GROUP_,SUBGROUP,FORMATION,MEMBER,BED,STATE,WATECTUNIT,SSUITE_TEC,SUITE_TEC,CRATON,SUPERTERRA,CRATON_TER,DOMAIN_,GREENSTONE,SUPERBASIN,BASIN,SUBBASIN,SUBBASIN_E,OROGEN,PROVINCE,PROV_TZONE,TECT_SUBDI,OROG_FOR,OROG_FORSU,IN_OUTLIER,EVENTS,AGEFROM,AGETO,MAX_AGE_MA,MAXUNCERTY,MIN_AGE_MA,MINUNCERTY,MAX_AGE_DA,MIN_AGE_DA
11,2976,A-b-YEG,2747;A-b-YEG,2747,Eastern Goldfields Superterrane greenstones,Informal,Group,"Fine- to very fine-grained mafic rock with minor ultramafic rock, undivided; metamorphosed",TOL,_Top Of Litho-Stratigraphic Order,igneous mafic volcanic,,,,,,,,,,,,,,,,,,,Western Australia,West Australian Craton,,,Yilgarn Craton,Eastern Goldfields Superterrane,,,,,,,,,,,,,,,Eastern Goldfields Superterrane events (2960 - 2600 Ma); Yilgarn Craton granite magmatism (3010 - 2600 Ma),Mesoarchean,Neoarchean,2960,,2650,,Inferred,Inferred
10,3453,A-mb-YEG,2747;A-mb-YEG,2747,Eastern Goldfields Superterrane greenstones,Informal,Group,Metamorphosed mafic volcanic rock,TOL,_Top Of Litho-Stratigraphic Order,meta-igneous mafic volcanic,metamafic volcanic rock,,,,,,,,,,,,,,,,,,Western Australia,West Australian Craton,,,Yilgarn Craton,Eastern Goldfields Superterrane,,,,,,,,,,,,,,,Eastern Goldfields Superterrane events (2960 - 2600 Ma); Yilgarn Craton granite magmatism (3010 - 2600 Ma),Mesoarchean,Neoarchean,2960,,2650,,Inferred,Inferred
7,20,A-mgs-Y,2747;A-mgs-Y,2747,Yilgarn Craton granites,Informal,Suite,Schistose metagranite; may include amphibolite lenses; includes deeply weathered rock,A-mg-Y,Yilgarn Craton granites,meta-igneous felsic intrusive,granitic schist,,,,,,,,,,,,,,,,,,Western Australia,West Australian Craton,Yilgarn Craton granites,,Yilgarn Craton,,,,,,,,,,,,,,,,Yilgarn Craton granite magmatism (3010 - 2600 Ma),Mesoarchean,Neoarchean,3010,,2600,,Inferred,Inferred
8,3269,A-mn-YEG,2747;A-mn-YEG,2747,Eastern Goldfields Superterrane greenstones,Informal,Group,"Gneiss, undivided; protolith unknown",TOL,_Top Of Litho-Stratigraphic Order,metamorphic protolith unknown: gneiss,gneiss,,,,,,,,,,,,,,,,,,Western Australia,West Australian Craton,,,Yilgarn Craton,Eastern Goldfields Superterrane,,,,,,,,,,,,,,,Eastern Goldfields Superterrane events (2960 - 2600 Ma); Yilgarn Craton granite magmatism (3010 - 2600 Ma),Archean,Archean,2960,,2650,,Inferred,Inferred
12,3420,A-mu-YEG,2747;A-mu-YEG,2747,Eastern Goldfields Superterrane greenstones,Informal,Group,"Metamorphosed ultramafic rock; includes talc--chlorite(--carbonate) and tremolite--chlorite schist; may include layered metamafic rocks, amphibolite, and graphitic schist",TOL,_Top Of Litho-Stratigraphic Order,meta-igneous ultramafic volcanic or undivided,meta-ultramafic rock,,,,,,,,,,,,,,,,,,Western Australia,West Australian Craton,,,Yilgarn Craton,Eastern Goldfields Superterrane,,,,,,,,,,,,,,,Eastern Goldfields Superterrane events (2960 - 2600 Ma); Yilgarn Craton granite magmatism (3010 - 2600 Ma),Mesoarchean,Neoarchean,2960,,2650,,Inferred,Inferred
9,3218,A-s-YEG,2747;A-s-YEG,2747,Eastern Goldfields Superterrane greenstones,Informal,Group,"Siliciclastic sedimentary rock, undivided; includes sandstone, siltstone, shale, and chert; metamorphosed",TOL,_Top Of Litho-Stratigraphic Order,sedimentary siliciclastic,,,,,,,,,,,,,,,,,,,Western Australia,West Australian Craton,,,Yilgarn Craton,Eastern Goldfields Superterrane,,,,,,,,,,,,,,,Eastern Goldfields Superterrane events (2960 - 2600 Ma); Yilgarn Craton granite magmatism (3010 - 2600 Ma),Mesoarchean,Neoarchean,2960,,2650,,Inferred,Inferred
1,552,od,2747;od,2747,Mafic intrusive unit,Informal,Suite,"Dolerite dykes, sills, or plugs; fine- to medium-grained dolerite; age uncertain",o,Mafic intrusive unit,igneous mafic intrusive,dolerite,,,,,,,,,,,,,,,,,,Western Australia,,,,,,,,,,,,,,,,,,,,Western Australian events (4000 - 0.01 Ma),Archean,Phanerozoic,4000,,0,,Inferred,Inferred
4,1288,P_-MCP5-s,2747;P_-MCP5-s,2747,"Collier Group, Depositional package 5",Informal,Subgroup,"Siltstone, mudstone, sandstone; minor dolostone, chert, and conglomerate",P_-MC-s,Collier Group,sedimentary siliciclastic,,,,,,,,,,,,,Bangemall Supergroup,Collier Group,"Collier Group, Depositional package 5",,,,Western Australia,West Australian Craton,,,,,,,,,Collier Basin,,,Capricorn Orogen,,,,,,,Edmundian Orogeny (1026 - 954 Ma),Mesoproterozoic,Mesoproterozoic,1171,,1067,,Inferred,Inferred
3,1285,P_-MCP6-s,2747;P_-MCP6-s,2747,"Collier Group, Depositional package 6",Informal,Subgroup,"Siltstone, mudstone, and fine-grained sandstone",P_-MC-s,Collier Group,sedimentary siliciclastic,,,,,,,,,,,,,Bangemall Supergroup,Collier Group,"Collier Group, Depositional package 6",,,,Western Australia,West Australian Craton,,,,,,,,,Collier Basin,,,Capricorn Orogen,,,,,,,Edmundian Orogeny (1026 - 954 Ma),Mesoproterozoic,Mesoproterozoic,1171,,1067,,Inferred,Inferred
2,1284,P_-WKku-od,2747;P_-WKku-od,2747,Kulkatharra Dolerite,Formal,Formation,Dolerite and gabbro sills intruded into Edmund Group and Collier Group,P_-WK-xo-f,Warakurna Supersuite,igneous mafic intrusive,dolerite,,,,,,,,,,Warakurna Supersuite,,,,,Kulkatharra Dolerite,,,Western Australia,Large igneous provinces and dyke swarms; West Australian Craton,Warakurna Large Igneous Province,,,,,,,,Collier Basin,,,Capricorn Orogen,,,,,,,Alice Springs Orogeny (450 - 295 Ma); Petermann Orogeny (580 - 520 Ma); Paterson Orogeny (635 - 540 Ma); Edmundian Orogeny (1026 - 954 Ma); Warakurna Supersuite Magmatic Event (1084 - 1040 Ma); Giles Event (1085 - 1040 Ma),Mesoproterozoic,Mesoproterozoic,1084,6,1067,14,Isotopic,Isotopic
